Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
2.602e+17 7.321e+15 2.090e+31 1.531e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.910e+11 1.017e+15 1.862e+31 1.568e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.060e+15 1.892e+12 4.892e+31 3.773e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.978e+15 3.838e+11 1.967e+31 1.469e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.743e+15 7.158e+11 1.640e+31 1.524e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.533e+15 4.528e+14 3.747e+31 2.029e+31 1.944e+14 1.871e+13 1 type_I type_I 1
2.625e+14 5.340e+15 3.697e+31 1.882e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.730e+16 1.711e+14 3.761e+31 1.868e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.940e+11 5.722e+16 1.493e+31 1.431e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.756e+13 2.571e+13 4.256e+31 1.928e+31 1.933e+14 2.675e+12 1 type_I type_I 1
1.637e+12 1.084e+16 2.107e+31 1.612e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.726e+11 5.087e+12 4.615e+31 3.767e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.276e+16 3.754e+13 4.526e+31 3.782e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.923e+17 6.199e+13 3.785e+31 2.007e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.500e+13 1.661e+15 4.550e+31 3.126e+31 1.940e+14 2.589e+13 1 type_I type_I 1
3.218e+16 5.228e+14 4.095e+31 3.764e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.919e+12 2.186e+16 4.275e+31 2.127e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.227e+12 2.194e+12 4.403e+31 3.502e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.830e+13 1.993e+13 3.074e+31 2.970e+31 1.923e+14 1.620e+12 1 type_I type_I 1
1.675e+12 2.514e+14 3.724e+31 3.061e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.274e+10 1.536e+14 4.369e+31 1.533e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.392e+15 1.724e+14 3.174e+31 1.483e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.237e+16 3.649e+16 2.938e+31 1.631e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.047e+13 1.544e+11 2.144e+31 1.965e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.049e+15 8.281e+11 3.482e+31 2.002e+31 0.000e+00 0.000e+00 0 type_I type_I 1
