Parameters:
version     = V1
date_time   = 251103_102738
comp_time   = 0:00:20.135101
disk_type   = SG
torque_type = G23
alpha       = 0.010
gen         = 1g
N           = 100

Data:
logMBH/Msun, m1/Msun, r0/Rs, chi_eff, T/Myr, t_gw/Myr, t_migr/Myr, is_emri, Ng 
7.4 1.166e+01 2.762e+01 -4.674e-01 5.765e-01 1.832e+00 2.495e+02 False 1
6.1 1.853e+01 5.187e+01 -3.770e-01 5.022e-01 3.273e-02 1.779e+00 False 1
7.1 2.121e+01 1.969e+01 -4.579e-01 1.520e+01 6.161e-02 1.961e+02 True 1
6.4 1.884e+01 7.372e+01 1.260e-01 2.644e+01 4.169e-01 9.834e-01 False 1
5.2 8.141e+00 1.548e+01 6.736e-01 1.144e+01 8.811e-06 2.838e+02 True 1
5.6 1.413e+01 1.242e+02 2.885e-01 5.031e+00 1.081e-01 4.953e-02 False 1
6.1 7.369e+00 5.010e+01 -8.416e-01 3.533e-01 8.016e-02 1.015e+01 False 1
7.0 8.465e+00 9.570e+02 -1.136e-01 1.524e+00 5.869e+05 8.581e-02 False 1
6.6 1.103e+01 5.835e+01 -2.108e-01 1.641e+00 1.013e+00 3.430e+01 False 1
6.5 1.855e+01 3.693e+01 -8.562e-01 1.160e+01 5.552e-02 4.334e+02 False 1
7.0 6.774e+00 7.289e+02 -2.879e-02 5.551e+02 2.012e+05 1.434e-01 False 1
6.5 1.840e+01 3.960e+01 5.667e-01 6.509e-02 6.990e-02 7.442e+01 False 1
7.3 1.889e+01 1.774e+01 5.965e-01 6.502e-01 1.130e-01 4.630e+02 True 1
6.0 1.567e+01 1.169e+01 4.702e-01 8.343e+00 5.316e-05 6.909e+01 True 1
6.4 1.019e+01 1.750e+01 -5.943e-02 1.730e+00 3.062e-03 1.219e+02 True 1
5.6 1.755e+01 1.925e+01 4.311e-02 7.089e-01 5.103e-05 4.673e+01 False 1
6.8 7.628e+00 4.321e+02 5.376e-01 3.016e+00 9.512e+03 8.137e-01 False 1
6.3 1.778e+01 6.909e+00 5.926e-01 1.564e+00 2.311e-05 3.077e+02 True 1
6.3 2.038e+01 6.966e+00 8.425e-01 1.289e+01 2.703e-05 3.057e+02 True 1
6.9 9.671e+00 7.077e+01 3.486e-01 1.058e+01 7.263e+00 5.294e+01 True 1
7.0 1.409e+01 1.253e+02 1.083e-01 3.123e-01 1.062e+02 1.630e+00 False 1
7.4 7.494e+00 7.795e+01 -9.968e-01 3.789e-01 1.224e+02 8.361e+00 False 1
6.8 1.582e+01 6.820e+00 -6.318e-01 1.032e+01 3.220e-04 1.491e+03 True 1
6.1 1.657e+01 8.783e+00 -9.645e-01 4.680e-01 2.552e-05 1.466e+02 True 1
7.7 8.636e+00 1.518e+03 5.272e-01 1.580e+00 7.845e+07 1.007e+00 False 1
6.3 1.853e+01 3.760e+01 -4.798e-01 4.222e+00 1.903e-02 1.508e+01 False 1
5.8 1.765e+01 9.181e+00 8.346e-01 1.264e-01 8.331e-06 7.112e+01 True 1
7.7 8.204e+00 3.344e+00 -1.290e-02 4.618e-01 1.546e-03 6.725e+04 True 1
7.3 1.944e+01 2.458e+02 -1.745e-01 3.199e+00 3.606e+03 4.457e+00 False 1
5.7 8.000e+00 4.934e+01 9.236e-01 7.145e-01 7.485e-03 1.524e+00 False 1
7.2 7.392e+00 9.812e+01 3.904e-01 2.522e+00 1.565e+02 3.252e+00 False 1
6.1 2.167e+01 3.856e+01 5.174e-02 1.928e+01 6.705e-03 4.054e+00 False 1
7.7 1.052e+01 8.105e+00 2.182e-01 8.194e-01 5.045e-02 1.191e+04 True 1
5.7 8.479e+00 1.916e+02 -2.046e-01 1.808e+01 1.676e+00 9.328e-02 False 1
6.6 1.972e+01 9.514e+01 -7.522e-01 4.141e+00 3.352e+00 1.011e+00 False 1
6.9 9.415e+00 4.423e+03 -5.967e-01 9.328e+01 1.375e+08 1.089e-02 False 1
6.1 9.807e+00 3.973e+00 -3.348e-01 7.420e-01 1.722e-06 7.207e+02 True 1
5.9 2.027e+01 1.051e+02 6.609e-03 6.097e-02 2.123e-01 1.180e-01 False 1
6.1 9.453e+00 1.074e+01 -5.425e-01 6.473e-02 8.997e-05 1.631e+02 True 1
6.7 1.043e+01 7.449e+00 -6.043e-01 4.953e+00 4.141e-04 1.562e+03 True 1
